depth,height,id,line_id,package,pn,type_id,vendor_id,volume,weight,width,long_desc,prices,cad_files,item_groups
,,KP_TUU4260,line5084,1,KP_TUU4260,,vendor01,,,,"Standard Panel Universal Lay in Channel and Base 42"" Height 60"" Width","[{'zone_id': 'zone1', 'price': '254.00'}]","[{'view_id': 'view42', 'file': 'KP_TUU4260_2D.dwg'}, {'view_id': 'view43', 'file': 'KP_TUU4260_3D.dwg'}]","[{'group_id': 'grp1065'}, {'group_id': 'grp1066'}, {'group_id': 'grp1067'}]"
,,KP_TUU5124,line5084,1,KP_TUU5124,,vendor01,,,,"Standard Panel Universal Lay in Channel and Base 51"" Height 24"" Width","[{'zone_id': 'zone1', 'price': '268.00'}]","[{'view_id': 'view42', 'file': 'KP_TUU5124_2D.dwg'}, {'view_id': 'view43', 'file': 'KP_TUU5124_3D.dwg'}]","[{'group_id': 'grp1065'}, {'group_id': 'grp1066'}, {'group_id': 'grp1067'}]"
,,KP_TUU5130,line5084,1,KP_TUU5130,,vendor01,,,,"Standard Panel Universal Lay in Channel and Base 51"" Height 30"" Width","[{'zone_id': 'zone1', 'price': '204.00'}]","[{'view_id': 'view42', 'file': 'KP_TUU5130_2D.dwg'}, {'view_id': 'view43', 'file': 'KP_TUU5130_3D.dwg'}]","[{'group_id': 'grp1065'}, {'group_id': 'grp1066'}, {'group_id': 'grp1067'}]"
,,KP_TUU5136,line5084,1,KP_TUU5136,,vendor01,,,,"Standard Panel Universal Lay in Channel and Base 51"" Height 36"" Width","[{'zone_id': 'zone1', 'price': '215.00'}]","[{'view_id': 'view42', 'file': 'KP_TUU5136_2D.dwg'}, {'view_id': 'view43', 'file': 'KP_TUU5136_3D.dwg'}]","[{'group_id': 'grp1065'}, {'group_id': 'grp1066'}, {'group_id': 'grp1067'}]"
,,KP_TUU5142,line5084,1,KP_TUU5142,,vendor01,,,,"Standard Panel Universal Lay in Channel and Base 51"" Height 42"" Width","[{'zone_id': 'zone1', 'price': '226.00'}]","[{'view_id': 'view42', 'file': 'KP_TUU5142_2D.dwg'}, {'view_id': 'view43', 'file': 'KP_TUU5142_3D.dwg'}]","[{'group_id': 'grp1065'}, {'group_id': 'grp1066'}, {'group_id': 'grp1067'}]"
,,KP_TUU5148,line5084,1,KP_TUU5148,,vendor01,,,,"Standard Panel Universal Lay in Channel and Base 51"" Height 48"" Width","[{'zone_id': 'zone1', 'price': '240.00'}]","[{'view_id': 'view42', 'file': 'KP_TUU5148_2D.dwg'}, {'view_id': 'view43', 'file': 'KP_TUU5148_3D.dwg'}]","[{'group_id': 'grp1065'}, {'group_id': 'grp1066'}, {'group_id': 'grp1067'}]"
,,KP_TUU5154,line5084,1,KP_TUU5154,,vendor01,,,,"Standard Panel Universal Lay in Channel and Base 51"" Height 54"" Width","[{'zone_id': 'zone1', 'price': '258.00'}]","[{'view_id': 'view42', 'file': 'KP_TUU5154_2D.dwg'}, {'view_id': 'view43', 'file': 'KP_TUU5154_3D.dwg'}]","[{'group_id': 'grp1065'}, {'group_id': 'grp1066'}, {'group_id': 'grp1067'}]"
,,KP_TUU5160,line5084,1,KP_TUU5160,,vendor01,,,,"Standard Panel Universal Lay in Channel and Base 51"" Height 60"" Width","[{'zone_id': 'zone1', 'price': '273.00'}]","[{'view_id': 'view42', 'file': 'KP_TUU5160_2D.dwg'}, {'view_id': 'view43', 'file': 'KP_TUU5160_3D.dwg'}]","[{'group_id': 'grp1065'}, {'group_id': 'grp1066'}, {'group_id': 'grp1067'}]"
,,KP_TUU6624,line5084,1,KP_TUU6624,,vendor01,,,,"Standard Panel Universal Lay in Channel and Base 66"" Height 24"" Width","[{'zone_id': 'zone1', 'price': '290.00'}]","[{'view_id': 'view42', 'file': 'KP_TUU6624_2D.dwg'}, {'view_id': 'view43', 'file': 'KP_TUU6624_3D.dwg'}]","[{'group_id': 'grp1065'}, {'group_id': 'grp1066'}, {'group_id': 'grp1067'}]"
,,KP_TUU6630,line5084,1,KP_TUU6630,,vendor01,,,,"Standard Panel Universal Lay in Channel and Base 66"" Height 30"" Width","[{'zone_id': 'zone1', 'price': '224.00'}]","[{'view_id': 'view42', 'file': 'KP_TUU6630_2D.dwg'}, {'view_id': 'view43', 'file': 'KP_TUU6630_3D.dwg'}]","[{'group_id': 'grp1065'}, {'group_id': 'grp1066'}, {'group_id': 'grp1067'}]"
